989673964,Tencent Mobile Games,192
791532221,乐元素,5
446324234,Tencent Mobile Games,192
1042545880,Tencent Mobile Games,192
1120536875,"Wuhan Weipai Network Technology Co., Ltd.",3
996509117,"Giant Network Technology Co., Ltd.",5
897447840,柠檬微趣,1
654897098,Tencent Mobile Games,192
472885640,JJWorld(Beijing) Network Technology Company Limited,14
653350791,Tencent Mobile Games,192
834878585,ZPLAY,68
1321803705,Tencent Mobile Games,192
1304987143,Tencent Mobile Games,192
995122577,DreamSky,33
493901993,"Tencent Technology (Shanghai) Co., Ltd",76
657500465,Outfit7 Limited,36
1089336971,Outfit7 Limited,36
1014227673,DreamSky,33
1036661603,Cheetah Technology Corporation Limited,14
1115609641,乐元素,5
529479190,Supercell,7
958022253,Tencent Mobile Games,192
639516529,PopCap,11
909351158,Outfit7 Limited,36
983122251,Tencent Mobile Games,192
955396648,Tencent Mobile Games,192
897841116,乐堂动漫信息技术有限公司,37
307751675,ZPLAY,68
1053012308,Supercell,7
504275369,cnvcs,8
672150402,Supercell,7
1001855348,Tencent Mobile Games,192
680514349,Tencent Mobile Games,192
638689075,Playrix Games,36
1006605215,游道易Yodo1,35
990556801,Tencent Mobile Games,192
940547441,网易移动游戏,120
731871690,Tencent Mobile Games,192
1166486511,福建省天晴互动娱乐,1
534453594,"Beijing Kai Luo Tian Xia Technology Co., Ltd.",4
1143402987,"miHoYo Technology (Shanghai) Co., Ltd",2
841140063,"Blizzard Entertainment, Inc.",9
483330461,Tencent Mobile Games,192
491274558,Boyaa Interactive International Limited,47
512402424,cnvcs,8
520356600,Tencent Mobile Games,192
1228038936,Tencent Mobile Games,192
1102297707,深圳创酷互动信息技术有限公司,8
932389062,Invictus,35
942937409,Revontulet Soft Inc,2
1156452083,Tencent Mobile Games,192
1112094262,Tencent Mobile Games,192
954252817,ZPLAY,68
747516887,"XZe Network Technology Co.,Ltd",5
1023663634,DreamSky,33
747314884,游道易Yodo1,35
1235504705,Tencent Mobile Games,192
449735650,Disney,168
867465887,"Hero Entertainment Co., Ltd.",34
966078986,GameFriend,4
972012557,Haitao Song,14
1138725547,途游棋牌游戏,14
377194688,Outfit7 Limited,36
586481698,PFU,7
891186836,Tencent Mobile Games,192
342994828,Tencent Mobile Games,192
1086842482,Tencent Mobile Games,192
791111694,Tencent Mobile Games,192
434811130,PokerCity Game,5
593369632,Yinhan Game,4
1037959338,Tencent Mobile Games,192
1031897589,雷霆游戏,4
963083092,"Intelligence Paradise China Co., Ltd.",27
1088753863,完美世界游戏,13
494856551,Ecapyc Inc.,6
1037198513,杭州游卡网络技术有限公司,9
672093597,4399 Network Inc.,24
1096974019,"Giant Network Technology Co., Ltd.",5
469027061,乐元素,5
1071360255,深圳市谷大网络科技有限公司,15
1098075090,网易移动游戏,120
1073870337,Fingersoft,5
1106936921,Tencent Mobile Games,192
1040491166,DreamSky,33
510248724,mengnan jiang,1
1108397779,Wuhu Sharejoy Network Technology Co.Ltd,6
1171326248,Tencent Mobile Games,192
838804006,Tencent Mobile Games,192
897894830,DreamSky,33
910395494,Shanghai Youzu Information Technology Corporation Limited,9
554936514,Outfit7 Limited,36
548592311,"Hangzhou Mention Network Technology Co., Ltd.",5
788406144,7k7kGames,9
999745003,Tencent Mobile Games,192
1102657935,深圳创酷互动信息技术有限公司,8
646640353,YouXin,5
496009190,Electronic Arts,46
521988799,cnvcs,8
556164350,Electronic Arts,46
1094207590,Chengdu Momo Technology Company Limited,26
1063956349,乐堂动漫信息技术有限公司,37
1061051095,Tencent Mobile Games,192
971978096,Haitao Song,14
1229073203,Tencent Mobile Games,192
1198096692,Tencent Mobile Games,192
967741086,Tencent Mobile Games,192
1097465856,网易移动游戏,120
703327328,Happy Labs Pte Ltd,19
563443400,Tencent Mobile Games,192
976916334,Rinzz Co. Ltd.,12
874153886,Tencent Mobile Games,192
502799623,"Beijing Globallink Computer Technology Co., Ltd.",26
714796093,Nordcurrent,24
416345319,Outfit7 Limited,36
727466621,SNK CORPORATION,12
1093063463,"Hero Entertainment Co., Ltd.",34
1037975766,JJWorld(Beijing) Network Technology Company Limited,14
778342052,Tencent Mobile Games,192
899492565,"Shanghai Soco Software Co.,Ltd",15
983522106,liu jiang,10
869231055,Rovio Entertainment Oyj,24
510940882,Funship Entertainment,5
1028950091,AvalonGames,4
977491503,Tencent Mobile Games,192
894979588,"NetEase, Inc",12
1057101569,DreamSky,33
462199252,YouXin,5
899467421,Chuang Xie,6
1066697625,Tencent Mobile Games,192
1119087595,Tencent Mobile Games,192
1020167166,Tencent Mobile Games,192
899811420,"Zhejiang Changtang Network Co., Ltd.",87
1088720922,ZPLAY,68
909211092,网易移动游戏,120
786857884,Tencent Mobile Games,192
1080228940,"Wuhan Dobest Information Technology Co, Ltd.",49
1099554323,"Hero Entertainment Co., Ltd.",34
779561331,Gameloft,85
403858572,Halfbrick Studios,13
1141795249,网易移动游戏,120
1186647303,Tencent Mobile Games,192
1106842267,HaiBo Zhang,7
945268584,Tencent Technology (Shenzhen) Company Limited,100
1073506457,"Chukong Tianyu Interactive Technology Co., Ltd.",1
564672254,游道易Yodo1,35
945274928,ELEX Wireless,11
1004691673,网易移动游戏,120
1037420924,Outfit7 Limited,36
981791837,Tencent Mobile Games,192
595831580,Disney,168
895745892,网易移动游戏,120
